term	translation
hemigrammus rodwayi	hemigrammus rodwayi
hemiprocne coronata	andorinhão-arborícola-de-crista
hemiprocnidae	hemiprocnidae
hemiramphidae	hemiramphidae
hemiscyllium ocellatum	tubarão-epaulette
hemisphaerium	cúpula
hendaye	hendaye
hendecasyllabus phalaecius	verso hendecassílabo
hendricus	hendrigo
henogovia	hainaut
henricus	henrique \ henrique \ henrico
henricus bergson	henri bergson
henricus berlinguer	enrico berlinguer
henricus boito	arrigo boito
henricus boll	heinrich böll
henricus brisson	eugène henri brisson
henricus bruning	heinrich brüning
henricus campbell-bannerman	henry campbell-bannerman
henricus caruso	enrico caruso
henricus celio	enrico celio
henricus cornelius agrippa de nettesheim	heinrich cornelius agrippa von nettesheim
henricus david thoreau	henry david thoreau
henricus de nicola	enrico de nicola
henricus druey	henri druey
henricus dunant	jean henri dunant
henricus fermi	enrico fermi
henricus ford	henry ford
henricus gregoire	henri grégoire
henricus haberlin	heinrich häberlin
henricus heine	heinrich heine
henricus i	henrique i de frança \ henrique i de inglaterra
henricus ibsen	henrik ibsen
henricus ii	henrique ii de frança \ henrique ii de inglaterra
henricus iii	henrique iii \ henrique iii de frança \ henrique iii de inglaterra
henricus iv	henrique iv da germânia \ henrique iv de frança \ henrique iv de inglaterra
henricus kissinger	henry a. kissinger
henricus maria ducrotay de blainville	henri marie ducrotay de blainville
henricus pelham	henry pelham
henricus poincare	henri poincaré
henricus purcell	henry purcell
henricus queuille	henri queuille
henricus s. truman	harry s. truman
henricus schliemann	heinrich schliemann
henricus sienkievicz	henryk sienkiewicz
henricus v	henrique v \ henrique v de inglaterra \ henry v
henricus vi	henrique vi de inglaterra
henricus vii	henrique vii da germânia
henricus vii angliae rex	henrique vii de inglaterra
henricus viii angliae rex	henrique viii de inglaterra
henrietta maria	henriqueta maria de frança
hepar	fígado \ figado
heparinum	heparina
hepatica	hepática
hepatitis	hepatite \ hepatite
hepatologia	hepatologia
hephaestus	hefesto \ hefesto
heptagonum	heptágono
heptagrammum	septograma
heptarchia	heptarquia
heptathlon	heptatlo
heptaxodontidae	heptaxodontidae
heptranchias perlo	tubarão-de-sete-guelras
hera	dama \ hera \ hera
heracles	héracles
heracleum	iráclio \ heraklion \ iráklio
heraclitus	heráclito de éfeso \ heráclito
heraldica	heráldica
heraldus	arauto \ arauto
herba	erva \ planta \ grama \ relva
herbaria	botânica
herbarium	herbário
herbarius	botânico
herbertus henricus asquith	herbert henry asquith
herbertus hoover	herbert hoover
herbeus	da cor da relva
herbicida	herbicida
herbipolis	wurtzburgo
herbivora	herbívoro \ herbívoro
herbosus	gramado
herculaneum	herculano
hercules	hércules \ hércules \ hercules
herdalia	härjedalen
here	ontem
heredes	herdeiro
hereditas	herança \ herança
heredito	herdar
herefordia	hereford
heremus	deserto
heres	herdeiro \ herdeira
heri	ontem
heri vesperi	noite passada \ ontem de noite \ ontem à noite
herma	busto \ busto
hermannus alexander diels	hermann diels
hermannus maier	hermann maier
hermannus muller	hermann müller
hermaphrodita	hermafrodita
hermaphroditismus	hermafroditismo
hermaphroditus	hermafrodito
hermenegildus	hermenegildo
hermeneutica	hermenêutica
hermes	hermes \ hermes
hermetschwil-staffeln	hermetschwil-staffeln
hermione granger	hermione jane granger
hermitagium	eremitério
hernia	hérnia \ hérnia
herniaria glabra	herniaria glabra
herodes	herodes
herodis dies	sabá
herodotus	heródoto
herodotus halicarnassensis	heródoto de halicarnasso \ heródoto
heroicus	heroico
heroinum	heroína \ cavalo \ heroína
heros	herói \ heroína \ herói
heroum	asfódelo \ monumento para a memória de um herói
herpailurus	jaguarundi \ jaguarundi
herpes zoster	herpes-zóster
herpestidae	herpestidae \ mangusto
herpesvirus porcino 1	doença de aujeszky
herpetologia	herpetologia \ herpetologia
hertz	hertz
hesiodus	hesíodo
hesiodus or hesiodus	hesíodo
hesperides	bengasi \ hespérides \ bengasi
hesperis	ocidental
hesperius	ocidental
hesterno die	ontem
hesternus	ontem
hestia	héstia
heta	ͱ
hetaeri	heteros
heteralocha acutirostris	huia
heterocephalus glaber	rato-toupeira-pelado
heterocera	mariposa
heterodontus zebra	heterodontus zebra
heterogeneus	heterogêneo \ heterogênea
heterophobia	heterofobia
heteroptera	hemípteros
heu	ei \ ai de mim
heunceut	vulva
hewlett-packard	hewlett-packard
hexagonum	hexágono \ hexágono
hexahedron	hexaedro \ hexaedro
hexahedrum	hexaedro
hexameter	hexâmetro dactílico
hexanchus nakamurai	hexanchus nakamurai
hexatrygon bickelli	hexatrygonidae
hi	elas \ eles
hiatus	hiato \ abertura \ orifício
hiberi	ibero \ iberos
hiberia	ibéria
hiberica lingua	espanhol
hibericus	georgiano
hibernacula	acampamento de inverno
hibernia	irlanda \ irlanda \ república da irlanda
hibernia septentrionalis	irlanda do norte \ irlanda do norte
hibernum	inverno
hibernus	inverno
hiberus	ebro \ rio ebro \ ibero \ iberos
hibiscum	hibisco
hibiscus	hibisco \ hibiscus \ hibisco
hibrida	bastardo \ bastarda
hic	aqui \ este \ esta
hic et nunc	aqui e agora
hic iacet lepus	este é o lebre
hida	hide
hidalgum	hidalgo
hide	hideto matsumoto
hidrogenio	hidrogenio
hiemo	invernar
hiems	inverno \ inverno
hierarchia	hierarquia \ hierarquia
hieremias	jeremias
hiericus	jericó \ jerico
hieron i syracusanus	hierão i
hieronymus	jerónimo de strídon \ jerônimo \ jerónimo \ jerónimo de strídon
hieronymus bock	jérôme bock
hieronymus frescobaldus	girolamo frescobaldi
hieronymus savonarola	girolamo savonarola
hierosolyma	jerusalém \ jerusalém
hierusalem	jerusalém
hiezabel	jezabel \ jezebel
hilaresco	alegrar \ pôr alegre
hilaris	alegre \ contente \ feliz
hilarius	papa hilário
hilarius pictaviensis	hilário de poitiers
hilaro	alegrar \ pôr alegre
hilarulus	alegre
hildegardis bingensis	hildegarda de bingen
hilla calens	avião \ cachorro-quente
himalaia	himalaia \ himalaia
himantopus	himantopus
hinc	daqui \ embora
hinduismus	hinduísmo \ hinduísmo \ hinduísmo
hinnio	relinchar
hinnire	relinchar
hinnitus	relincho
hinnus	mula \ bardoto
hinricus erhardt	heinz erhardt
hinsdalis	hinsdale
hio	bocejar
hippalus	monção \ monção
hippo regius	annaba \ annaba
hippocamelus antisensis	hippocamelus antisensis
hippocampus	cavalo-marinho
hippocastanaceae	hipocastanáceas
hippocomus	palafreneiro
hippocrates	hipócrates
hippodromos	hipódromo
hippolais icterina	felosa-icterina
hippolais polyglotta	felosa-poliglota
hippolytus	hipólito de roma
hippopotamus	hipopótamo \ hipopótamo-comum \ hipopótamo \ hipopótamo \ hipopótamo-comum
hippotigris	zebra
hippurus	doirada \ peixinho dourado
hircus	bode \ cabra \ cabrão
hirnea	caneca \ chope
hirohitus	hirohito
hirosima	hiroshima
hirpus	lobo
hirudo	sanguessuga \ sanguessuga \ sanguessuga
hirundinidae	hirundinídeos
hirundo	andorinha \ engolir \ tragar \ andorinha
hirundo atrocaerulea	andorinha-azul
hirundo megaensis	hirundo megaensis
hirundo rustica	andorinha \ andorinha-das-chaminés
hispalis	sevilha \ sevilha
hispana	espanhol \ espanhola \ espanhola \ espanhol
hispania	espanha \ espanha
hispania tarraconensis	tarraconense
hispania ulterior	hispânia ulterior
hispanica	espanhol \ espanhola \ castelhano \ espanhol \ espanhola
hispanicum	castelhano \ espanhol \ espanhol \ espanhola
hispanicus	espanhol \ espanhola \ castelhano \ espanhol \ espanhola
hispaniensis	espanhol
hispaniola	ilha de são domingos
hispanum	espanhol \ espanhola
hispanus	espanhol \ espanhola \ espanhol \ espanhola
histiophryne psychedelica	histiophryne psychedelica
histologia	histologia
historia	história \ histórico
historia aegypta	história do egipto
historia anarchismi	história do anarquismo
historia anglica	história da inglaterra
historia artium	história da arte
historia augusta	história augusta
historia biologiae	história da biologia
historia britannica hiberniaque	história do reino unido
historia civitatum foederatarum americae	história da américa
historia europae	história da europa
historia fabularis	mitologia
historia franciae	história da frança
historia geographiae	história do pensamento geográfico
historia graeca	história da grécia
historia hispanica	história de espanha
historia indica	história da índia
historia italica	história da itália
historia mundi	história do mundo
historia naturalis	história natural
historia novae zelandiae	história da nova zelândia
historia philippinarum	história das filipinas
historia poloniae	história da polónia
historia romaniae	história da romênia
historia scribendi	história da escrita
historia spartae	história de esparta
historia sueciae	história da suécia
historia vicipaediae latinae	wikipédia em latim
historicus	histórico \ historiador
historicus litterarum	historiador da literatura
historiographia	historiografia
historismus	arquitetura historicista
histria	ístria
histrio	ator \ bailarina \ bailarino
histurgops ruficauda	histurgops ruficaudus
hitler	hitler
hlidbeki	lübbecke
ho chi minh	ho chi minh
hobbit	o hobbit
hobbitus	hobbit
hoc	estas \ este \ estes
hoc die	atualmente \ hoje \ hoje em dia
hoc modo	assim
hoc panis dans vitam est	isto é o pão que dá a vida
hoccaido	hokkaido \ hokkaido
hocceus	hóquei
hocceus terrestre	hóquei em campo
hochiminhopolis	cidade de ho chi minh
hodie	hoje \ hoje em dia \ atualmente
hodie nox	esta noite \ hoje à noite
hodiernus	de hoje \ hodierno
hoje	mesmo
hola	toca \ túnel
hollandia	holanda \ holanda
hollandia australis	holanda do sul
hollandia septentrionalis	holanda do norte
holmia	estocolmo \ estocolmo
holmium	hólmio \ hólmio
holocaustum	holocausto
holocautoma	holocausto
holographia	holografia \ holografia
holosteum umbellatum	holosteum umbellatum
holothuroidea	pepino-do-mar \ pepino-do-mar
holotypus	holótipo
holsatia	holstein
holt	holt
holus	hortaliça \ vegetal \ verdura \ legume \ verdura
homagium	homenagem
homaridae	homarídeos \ nefropídeos
homarus	lagosta
homeopathia	homeopatia
homerus	homero \ homero
homicida	homicida \ assassino
homicidium	homicídio \ assassinar \ assassínio \ homicídio
homicidium honorabile	crime de honra
homilia	homília
homines	homens \ gente \ povo
homines amantes virtutem	homens que amam a virtude
homines amati ab omnibus	pessoas amadas por todos
hominibus amantibus virtutem	aos homens que amam a virtude
hominidae	hominídeos
hominoidea	hominoidea
homo	homem \ pessoa \ humano \ homem \ homo \ humano
homo mundi	homem do mundo
homo neanderthalensis	homem-de-neandertal \ neandertal
homo nullius coloris	nem carne nem peixe
homo oeconomicus	homo economicus
homo robustus	atleta \ homem forçudo \ hércules
homo sapiens	homo sapiens \ ser humano \ homem
homo validus	atleta \ homem forçudo \ hércules
homocida	assassina \ assassino \ homicida
homoeostasis	homeostase
homoeoteleuton	rima
homoeothermia	homeotermia
homoiopathia	homeopatia \ homeopatia
homonymum	homónimo \ homônimo
homonymus	homónimo \ do mesmo nome
homophobia	homofobia \ homofobia
homophylophilia	homossexualidade \ homossexualidade
homoptera	homópteros
homosexualis	homossexual \ gay \ homo
homosexualitas	homossexualidade
homuncio	manequim
honduria	honduras \ honduras
honestas	honestidade \ integridade \ moral
honesto	honrar
hongcongum	hong kong \ hong kong
honolulum	honolulu
honor	honra \ decoro \ honrar \ honra
honorabile	honorável
honorabilis	honorável
honoratus	honrado
honorificus	honorifico
honoris causa	honoris causa
honorius	flávio augusto honório
honorius de balzac	honoré de balzac
honorius i	papa honório i
honorius ii	papa honório ii
honorius iii	papa honório iii
honorius iv	papa honório iv
honoro	honrar
honos	honra
honsua	honshu \ honshu
hoplites	hoplita
hoplomachus	hoplomachus
hoplostethus atlanticus	hoplostethus atlanticus
hoquetus	hoquetus
hora	hora \ estação \ época
hora aestiva	horário de verão \ horário de verão
hora normalis	horário padrão
horae	horas
horatius	horácio
horatius koehler	horst köhler
hordeolus	terçol
hordeum	cevada \ cevada
horeb	horebe
horia	barca de pescador
horizon	horizonte \ horizonte
horizon eventuum	horizonte de eventos
hormisdas	papa hormisdas
hormon	hormônio \ hormona \ hormona
horologia	orologia \ horologia
horologiarius	relojoeiro
horologiorum opifex	relojoeiro
horologista	oologista \ orologisto
horologistus	oologista \ orologisto
horologium	relógio \ pêndulo \ horologium \ relógio
horologium armillare	relógio \ relógio de bolso \ relógio de pulso \ relógio de pulso
horologium astronomicum	relógio astronômico
horologium solarium	relógio de sol \ relógio solar
horoma	visão
horresco	tremer
horreum	celeiro \ galpão
horrificare	assustar
horror	calafrio \ horror
hors	afinado \ correcto \ correto
hortamini	vai \ vamos
hortare	vai \ vamos
hortensia	hidrângea
horticultura	horticultura
hortor	encorajar \ exortar \ impelir \ urgir
hortorum cultus	horticultura
hortulanus	jardineiro
hortum	jardim
hortus	jardim \ horto \ horta \ jardim
hortus betheli	bethel park
hortus signorum	parque de escultura
hortus zoologicus	jardim zoológico \ jardim zoológico
horum	deles \ seu \ seus
horus	hórus
hos	eles \ lhes \ os
hosanna	hosana
hoseas	oseias
hospes	hóspede \ freguês \ visita
hospita	anfitriã
hospitaculum	albergue \ motel \ pousada
hospitali pauperum	hospital para os pobres
hospitalis	hospitaleiro \ hospitaleira \ hospital
hospitalitas	hospitalidade
hospitator	freguês \ hóspede \ visita \ anfitrião
hospiticida	hospício
hospitiolum	pensão
hospitium	hotel \ afeição \ amizade
hostes	inimigo
hostia	hóstia
hostile	frio \ hostil
hostilia	ostiglia
hostilis	frio \ hostil \ adversário
hostilitas	hostilidade
hostilitatis	hostilidade
hostire	ofender
hostis	inimigo \ hóspede \ adversário
houses of the holy	houses of the holy
hrvatsko-srpski	servo-croata
hrvatskosrpski	servo-croata
hu jintao	hu jintao
huancaium	huancayo
huancavelica regio	departamento de huancavelica
huanucum	huánuco
huanucum regio	huánuco
huaraz	huaraz
huc	para cá \ para aqui \ aqui
huc illuc	de cá para lá
hucusque	até agora \ então
hudsonicum	rio hudson
hugo	hugo
hugo capetius	hugo capeto
hugo chavez	hugo chávez
hugo foscolo	ugo foscolo
hugo grant	hugh grant
huguenoti	huguenote
hui	uau \ nossa \ uia
huic	este \ o \ a
huius	dela \ dele \ seu
huius cycladis	cota
hulla	kingston upon hull
human herpesvirus 3	vírus varicela-zoster
human rights watch	human rights watch
humana	humana \ humano \ ser humano
humanae vitae	humanae vitae
humanismus	humanismo
humanitarismus	humanitarismo
humanitarium belli ius	direito humanitário internacional
humanitas	humanidade \ conhecimento \ cultura \ natureza humana
humanum	humano \ homem
humanum est errare	errar é humano
humanus	humano \ humana \ ser humano \ pessoa
humanus cultus occidentalis	mundo ocidental
humbertus eco	umberto eco
humbertus giordano	umberto giordano
humbertus i	humberto i de itália
humbertus ii	humberto ii da itália
humerus	ombro \ úmero
humide	cru
humiditas	humidade \ umidade
humidu	úmido
humildade	humildade
humile	baixo
humilis	baixo \ modesto \ raso
humilitas	humildade
humor	humor
humulus	lúpulo \ pe-de-galo \ lúpulo
humulus lupulus	lúpulo
humus	terra \ terreno \ chão \ húmus
hunc	o \ a \ ele
hungaria	hungria \ hungria
hunni	hunos
hunnopolis	hunedoara
hunyadiopolis	hunedoara
huracanum	furacão
huso	esturjão
hussaro	hussardo \ hussardo
hustonia	houston \ houston
hyacinthaceae	hyacinthaceae
hyacinthinus	da cor do jacinto
hyacinthos	jacinto
hyacinthus	jacinto \ hyacinthus \ hyacinthus \ jacinto \ jacinto
hyaena	hiena
hyaena hyaena	hiena-riscada
hyaenidae	hiena
hybrida	híbrido \ híbrido
hybris	tudo que passa da medida; desmedido
hyccara	carini
hydra	cobra \ hidra \ hydra \ hydra \ hidra \ hidra de lerna \ hidra
hydraletes	moinho de água
hydrangea	hidrângea \ hortênsia \ hortênsia
hydrargyrum	mercúrio \ hidrargírio
hydrargyrus	mercúrio
hydratatio	hidratação
hydraulis	hidraulo \ órgão hidráulico
hydrictis maculicollis	lontra-de-pescoço-pintado
hydrocarboneum	hidrocarboneto \ hidrocarboneto
hydrochroma	aquarela \ aguarela
hydrodamalis	dugongo-de-steller
hydrogenii peroxidum	peróxido de hidrogênio \ peróxido de hidrogênio
hydrogenium	hidrogénio \ hidrogênio \ hidrogéno \ hidrogênio
hydrogista	hidrologista \ hidrólogo
hydrologia	hidrologia
hydrologistus	hidrologista \ hidrólogo
hydromeli	hidromel \ hidromel
hydrophonum	hidrofone
hydrosphaera	hidrosfera
hydroxidum	hidróxido \ hidróxido
hydroxidum kalii	hidróxido de potássio
hydroxydatum	hidroxila
hydrozoa	hidrozoários
hydrurga leptonyx	foca-leopardo
hydrus	hydrus
hyems	inverno
hyginus papa	papa higino
hygraerioploion	gaseiro
hygrobiotopos	zona úmida
hylobates agilis	hylobates agilis
hylobates moloch	hylobates moloch
hylobates pileatus	hylobates pileatus
hylobatidae	gibão \ gibão \ gibão
hymenaeus	casamento
hymenolepis	hymenolepis
hymenoptera	himenópteros
hymnus	hino
hymnus germaniae	hino nacional da alemanha
hymnus nationalis	hino nacional \ hino nacional
hymnus nationalis chiliae	hino nacional do chile
hymnus russiae	hino nacional da rússia
hymnus te deum	te deum
hymnus unionis sovieticae	hino da união soviética
hyoscyamus	hyoscyamus \ meimendo
hypancistrus zebra	cascudo-zebra
hypargos margaritatus	pintadinho-de-peito-rosado
hypatia	hipátia
hyperaesthesia	hiperestesia
hyperalieusis	sobrepesca
hyperbaton	hipérbato
hyperbole	hipérbole
hypercosmos	hiperespaço
hypercubus	tesserato
hyperion	hiperião
hypernova	hipernova
hyperopia	hipermetropia
hyperplēthysmos	superpopulação
hyperrealitas	hiper-realidade
hypertensio	hipertensão \ hipertonia
hypertextus	hipertexto \ hipertexto
hypnos monopterygius	hypnos monopterygius
hypnosis	hipnose
hypoblastus	hipoblasto
hypocaustum	hipocausto \ hipocausto
hypocentrum	hipocentro
hypochondria	hipocondria
hypocrita	hipócrita
hypocryptadius cinnamomeus	hypocryptadius cinnamomeus
hypokorisma	hipocorístico
hypophysis	glândula pituitária \ hipófise
hypotensio	hipotensão
hypotenusa	hipotenusa \ hipotenusa
hypothalamus	hipotálamo
hypotheca	hipoteca \ hipoteca
hypotheses endosymbioticae	teoria da endossimbiose
hypothesis	hipótese
hypothesis endosymbiotica	teoria da endossimbiose
hyracoidea	hyracoidea
hyrax	damão \ hirax
hyrcania	hircânia
hyspicae fundus	ispica
hyssopus	hyssopus \ hissopo
hystericus	histérico
hystricidae	histricídeos
hystrix	porco-espinho \ porco-espim \ porco-espinho
hystrix cristata	hystrix cristata
i	i \ jota
i graeca	ípsilon
i-ram	iram
iabervogas	jaguadarte
iabrocus	jaguadarte
iaceo	estar \ estar deitado \ jazer
iacere	atirar \ lançar \ arremessar
iacio	atirar \ lançar \ arremessar
iacob	diogo \ iago \ jacob
iacoba kennedy onassis	jacqueline kennedy onassis
iacobopolis	jamestown
iacobus	james \ jacob \ diogo \ iago
iacobus arminius	jacó armínio
iacobus benignus bossuet	jacques-bénigne bossuet
iacobus bernoulli	jakob bernoulli
iacobus biffi	giacomo biffi
iacobus bond	james bond
iacobus brown	james brown
iacobus buchanan	james buchanan
iacobus callaghan	james callaghan
iacobus carrey	jim carrey
iacobus cartier	jacques cartier
iacobus cassini	jacques cassini
iacobus chaban-delmas	jacques chaban-delmas
iacobus chirac	jacques chirac
iacobus cook	james cook
iacobus derrida	jacques derrida
iacobus dubs	jakob dubs
iacobus earl carter	jimmy carter
iacobus garfield	james a. garfield
iacobus grimm	irmãos grimm
iacobus hermannus maradona	diego maradona
iacobus hieronymus chassanaeus	giacomo casanova
iacobus i	jaime i de inglaterra
iacobus ii angliae rex	jaime ii de inglaterra
iacobus ivory	james ivory
iacobus joyce	james joyce
iacobus knox polk	james knox polk
iacobus lancaster	james lancaster
iacobus le goff	jacques le goff
iacobus leopardi	giacomo leopardi
iacobus ludovicus david	jacques-louis david
iacobus madison	james madison
iacobus maritain	jacques maritain
iacobus monroe	james monroe
iacobus necker	jacques necker
iacobus offenbach	jacques offenbach
iacobus puccini	giacomo puccini
iacobus roggeveen	jakob roggeveen
iacobus stampfli	jakob stämpfli
iacobus wales	jimmy wales
iacobus watt	james watt
iacomus	diogo \ iago \ tiago
iacsoniapolis	jacksonville
iacta	os dados estão lançados
iactare	atirar \ jogar \ lançar
iacto	atirar \ lançar \ arremessar \ jogar
iactura	dano \ prejuízo
iactus	jato
iactus disci	lançamento de disco
iactus globi	arremesso de peso
iactus mallei	lançamento de martelo
iaculatio	lançamento de dardo
iaculator	arremessador \ arremessador
iaculator incipiens	lançador de abertura
iacuticus	iacuto
iainismus	jainismo \ jainismo
iam	já \ agora \ imediatamente
iam pridem	a muito tempo atrás \ há muito tempo
iamaica	jamaica \ jamaica
iamblichus	jâmblico
iambus	iambo
iamdudum	há muito tempo
iamoussoukro	yamoussoukro \ yamoussoukro
iampridem	a muito tempo atrás \ há muito tempo
ian murdock	ian murdock
iana seimora	joana seymour
iangon	yangon
ianiculum	janículo
ianitor	guardião \ porteiro
ianizari	janízaro \ janízaro
iansenismus	jansenismo
ianthinus	de cor violeta
iantra	yantra
ianua	porta \ portão \ colchete \ porta
ianuarius	janeiro \ janeiro \ janeiro
ianuella	janela
ianus	jano \ jano
iapetus	jápeto
iaphet	jafé
iapo	japonês \ japonesa \ japonesas
iaponia	japão \ japão
iaponice	japonês
iaponicus	japonês \ japonesa \ nipônica \ nipônico
iapygia	apúlia
iaroslavia	iaroslavl
iason	jasão
iaspis	jaspe \ jaspe
iasser arafat	yasser arafat
iassium	iași
iava	java \ java
iazium	jazz \ jazz
iberia	península ibérica
ibi	ali \ aí \ lá
ibidem	nesse mesmo instante \ nesse mesmo lugar
ibidorhyncha struthersii	ibidorhynchidae
ibis	íbis
ibm	ibm
ibycus	íbico
ica regio	ica
icaria	icaria
icarus	ícaro
icauna	yonne
icbm	míssil balístico intercontinental
ichigo kurosaki	ichigo kurosaki
ichiro mizuki	ichiro mizuki
ichnologia	icnologia
ichthyaetus leucophthalmus	gaivota-d'olho-branco
ichthyologia	ictiologia \ ictiologia
ichthyologicus	ictiológico
ichthys	ichtys
icon	ícone \ ídolo \ ícone \ icone
iconium	konya
iconoclasmus	iconoclastia
iconographia	iconografia
iconostasis	iconóstase \ iconóstase
icosahedron	icosaedro \ icosaedro
icterus	icterícia \ icterícia
ictu oculi	num golpe de vista \ à primeira vista
ictus	impacto \ acidente vascular cerebral \ golpe \ empurrão \ choque circulatório \ acidente vascular cerebral
ictus displosionum	metranca
ictus pedis	chuta \ chute
id	a \ ela \ ele
id credo	acho que sim \ penso que sim
id est	isto é
ida	ida
idahum	idaho \ idaho
idcirco	daí \ por causa disso \ por esse motivo
idea	ideia \ idéia \ pensamento
idealis	ideal
idealismus	idealismo \ idealismo
idefix	ideiafix
idem	mesmo \ o mesmo \ também
identidem	de novo e de novo
identitas	identidade
identitas generis	identidade de gênero
identitatis	identidade
ideo	portanto
ideologia	ideologia \ ideologia
ideologia viridis	política verde
ideologicus	ideológico
ideologus	ideólogo
idioma	expressão idiomática
idiophonum	idiofone
idiota	idiota \ amador \ amadora
idipsum	junto \ junta
idis amin dada	idi amin
ido	ido \ ido \ ido
idololatria	idolatria
idolon	fantasma
idolum	ídolo
idus	idos
iecur	fígado \ figado \ fígado
iedda	jidá \ jidá
iehova	javé \ jeová
iehovah	javé
ieiunium	fome \ jejum \ abstinência \ jejum
ieiuno	jejuar \ ficar de jejum
ieiunus	faminto \ esfomeado \ com fome
iemenia	iémen \ iémen \ iêmen
iemtia	jämtland
iena	jena
ienisea	ienissei \ rio ienissei
ientaculum	desjejum \ café da manhã \ pequeno-almoço \ mata-bicho \ pequeno-almoço
ieremia bentham	jeremy bentham
iericho	jericó
ierusalem	jerusalém
iesse	jessé
iesu	Jesus
iesuitae	companhia de jesus
iesus	jesus \ jesus
iesus christus	jesus cristo
iesus hominum salvator	jesus salvador da humanidade
igitur	portanto \ assim sendo \ por isto
iglu	iglu \ iglu
ignarus	ignorante
ignatius	inácio
ignatius de loyola	inácio de loyola
ignavia	preguiça
ignavus	preguiçoso
ignes artificiosi	fogos de artifício
igneus	ardente \ quente \ veemente \ ígneo
ignifer	ardente \ inflamável \ ígneo
ignio	acender \ atear fogo \ incendiar \ queimar
ignis	fogo \ lume \ incêndio
ignis fatuus	fogo-fátuo \ joão galafoice \ fogo corredor \ fogo fátuo
ignis graecus	fogo grego
ignis olympicus	chama olímpica
ignis sacer	ergotismo
ignitabulum	acendedor \ isqueiro
ignitegium	toque de recolher
ignitio	ignição
ignominia	desgraça \ desonra \ ignomínia
ignominiosus	ignominioso
ignorans	ignorante
ignorantia	ignorância \ ignorância
ignorare	fingir ignorar
ignoratio	ignorância
ignoratus	desconhecida \ desconhecido
ignoro	ignorar \ sei lá
ignoscere	perdoar \ desculpar
ignosco	desculpar \ perdoar \ escusar \ remitir
ignoto	desconhecido
ignotus	desconhecida \ desconhecido
igo	go
ihonenus vasci	jhonen vasquez
ihs	cristograma
ii	elas \ eles
ikonoklasmus	iconoclasmo \ iconoclastia
ilerda	lérida
ileus	íleo paralítico \ íleo paralítico
ilex	azevinho \ azevim \ azinheira \ ilex \ azevim \ azevinheiro \ azevinho
ilex aquifolium	azevinho
ilias	ilíada \ ilíada
ilico	de imediato \ imediatamente
ilium	troia \ tróia
ilius	dele
ill bethisad	ill bethisad
illa	ela \ elas \ eles
illa et vicinonia	ille-et-vilaine
illac	nesta direcção \ neste caminho \ por ali
illae	aqueles \ elas \ eles
illam	ele \ a \ ela \ o
illarum	deles \ seu \ seus
illas	eles \ lhes \ os
illata pudicitiae	estupro
illatenus	tão longe quanto
illatio	imposto \ enterro \ taxa
illativus	ilativo
ille	ele \ aquela \ aquele
ille graecus	el greco
illegitimus	ilegítimo
illi	elas \ eles \ lhe
illic	ali \ aí \ lá
illic est	dali \ de lá
illici	elche
illicitus	ilícito
illicium	anis-estrelado \ badiana
illido	esmagar
illigo	anexar
illinc	daí \ desde aí
illinoesia	illinois \ illinois
illion	troia \ tróia
illis	eles / lhe
illius	dela \ dele \ seu
illo	que \ a \ o
illorum	deles \ seu \ seus
illos	eles \ lhes \ os
illuc	para lá \ para ali \ para aí
illuceo	luzir, brilhar
illud	a \ isso \ o
illudere	caçoar \ escarnecer \ zombar
illum	o \ a \ ele
illuminare	iluminar
illuminatus	iluminado
illusio	ilusão
illusorius	ilusório
illustratio	clareza \ estudo \ explicação
illustris	ilustre
illyria	ilíria
illyricum	ilíria \ ilírico
illūc tē mēcum dūcam neque umquam tē relinquam.	para lá comigo te conduzirei e nunca te abandonarei.
ilo	organização internacional do trabalho
iluro	mataró
imac	imac
imaginari	imaginar
imaginarius	imaginário
imaginatio	imaginação \ fantasia
imagine	imagine
imago	imagem \ quadro \ estampa \ imago
imago vocis	eco
imam	imame
imbecillis	imbecil
imbecillus	débil \ fraco \ frouxo
imbecillus americanus	american idiot
imber	chuva \ bátega \ carga-d'água \ chuva torrencial
imberbis	imberbe
imbibo	beber
imbridus	chuvoso \ pluvioso
imburso	embolsar
imipraminum	imipramina
imitamentum	imagem \ simulacro
imitari	copiar
imitatio	imitação
imitor	imitar
immaculata conceptio	imaculada conceição
immaculatus	imaculado
immanis	selvagem
immanitas	enormidade
immanuel kantius	immanuel kant
immaturus	antecipado \ precoce \ prematuro
immemorabilis	esquecível \ olvidável
immemoratio	esquecimento
immemoratus	imemorável
immensus	imenso \ enorme
immerens	desmerecedor \ indigno
immergo	imergir
immersabilis	imersível
immersio	imersão
immersio linguistica	imersão em línguas
immersus	imerso
immigratio	imigração \ imigração
immineo	estar iminente
immitto	permitir
immo	longe disso \ muito ao contrário
immobilis	imóvel \ parado
immobilizatio	paralisação
immolatio sui	autoimolação
immoror	permanecer
immortalis	imortal
immortalitas	imortalidade
immugio	resmungar
immunde	porcamente \ sujamente
immunditia	imundícia
immunis	isento
immunitas	imunidade \ liberdade
immunitus	desprotegido \ indefeso
immutabilis	imutável
immutatio	imutação
immutatus	imutado
immuto	transformar \ cambiar \ imutar \ negociar
impala	impala
impatientia	impaciência
impeccabilitas	impecabilidade
impeccantia	impecabilidade \ perfeição
impedicare	impedir
impedimentum	impedimento \ deficiência \ obstáculo \ impeachment
impedio	atrapalhar \ entravar \ estorvar
impeditio	impedimento
