term	translation
littorella	littorella
lituania	lituânia \ lituânia
lituanian	lituano \ lituânio \ lituânico
lituaniană	lituano \ lituano \ lituânico
lituaniene	lituânio \ lituano \ lituânico
lituanieni	lituânio \ lituano \ lituânico
lituanija	lituânia
liturghie	missa \ liturgia \ liturgia
liturgia orelor	horas canônicas
liturgic	litúrgico
litzendorf	litzendorf
liu shaoqi	liu shaoqi
liubliana	liubliana
liv kristine	liv kristine
liv tyler	liv tyler
livadă	pomar \ prado \ pomar
live	live
live after death	live after death
live aid	live aid
live earth	live earth
live mesh	live mesh
livecd-tools	livecd-tools
livermoriu	livermório
livermorium	livermório
liverpool	liverpool \ liverpool
liverpool f.c.	liverpool fc
livoniană	livoniano \ livónio \ livônio
livorno	livorno
livra	entregar \ fornecer \ distribuir \ proporcionar
livrare	entrega
livrea	libré
livră	libra \ libra
livră-forță	libra
lixa	lixa
lizibil	legível
lizibilitate	legibilidade
lizină	lisina
lizozom	lisossomo
liège	liège
liétor	liétor
lișiță	galeirão \ patinho \ galeirão-comum
ljubljana	liubliana \ ljubljana \ liubliana
ljungby	ljungby
llama	lhama \ lama
llançà	llançà
lld	lld
lleida	lérida
lleyton hewitt	lleyton hewitt
lloret de mar	lloret de mar
lloyd kropp	lloyd kropp
lloyd zimmerman	lloyd zimmerman
llvm-libunwind	llvm-libunwind
llvm-ocaml	llvm-ocaml
llvm-vim	llvm-vim
llívia	llívia
ln	ln
lo stesso tempo	lo stesso tempo
lo-fi	lo-fi
lo-reninge	lo-reninge
loara	loire \ rio loire
loaza	loaíase
lob	lobo
lob parietal	lobo parietal
lobby	lobismo \ grupo de pressão
lobito	lobito
lobodă	erva-armola
lobotomie	lobotomia
lobul parietal	lobo parietal
loc	lugar \ local \ posição
loc comun	lugar-comum
loc de articulare	ponto de articulação \ ponto de articulação
loc de joacă	parque \ parque infantil \ parquinho \ parque infantil
loc de muncă	local de trabalho
loc de parcare	estacionamento
loc de plecare	ponto de partida
loc desemnat pentru recensământ	região censitária
loc geometric	lugar geométrico \ lugar geométrico
loc gol	lacuna
loc imaginar	lugar fictício
loc vacant pe liste electorale	vacatura
loc web meeting	local para reuniões na web \ sala de reunião web
loc îngust	afunilamento \ estrangulamento
local	local \ no local \ pub
localhost	localhost
localitate	localidade \ região urbana \ zona urbana \ área urbana
localizare	localização
localizare parţială	localização parcial
localizarea producției	localização da produção
localizarea surselor de energie	localização das fontes de energia
localnic	nativo
localnică	nativo
locală	local
locarno	locarno
locativ	locativo \ caso locativo
locaţie	localização \ local \ renda \ aluguel
locaţie de apelare	localidade de discagem \ localização de marcação
locaţie de navigare	local de navegação
locaţie de încredere	local confiável \ localização fidedigna
locaţie implicită	localização padrão \ localização padrão \ localização predefinida
locațiune	renda \ aluguel
loch ness	lago ness
loches	loches
lockheed martin	lockheed martin
lockheed u-2	lockheed u-2
lockheed yf-12	lockheed yf-12
locomotive	locomotivas
locomotivă	locomotiva \ locomotiva
locomotivă cu abur	locomotiva a vapor \ locomotiva a vapor
locomotivă cu motor diesel	locomotiva a diesel
locomotivă diesel	locomotiva a diesel
locomotivă electrică	locomotiva eléctrica
locotenent	tenente \ tenente \ tenente
locotenent colonel	tenente-coronel
locotenent major	primeiro tenente
locotenent-colonel	tenente-coronel \ tenente-coronel
locui	morar \ habitar \ viver
locuibil	habitável
locuință	habitação \ domicílio \ moradia
locuință insalubră	habitação insalubre
locuință socială	habitação social
locuință unifamilială	habitação individual
locuitoare	habitante
locuitor	habitante \ roceiro
locul decesului	local da morte
locul naşterii	terra natal
locuri de muncă pentru toți solicitanții	pleno emprego
locuri din patrimoniul mondial	património mundial
locus	locus
locus de control	locus de controle
locuțiune	expressão idiomática \ locução
locuțiune prepozițională	locução prepositiva
locuțiune pronominală	locução pronominal
locuțiune substantivală	frase nominal
locuțiune verbală	locução verbal \ verbo frasal \ phrasal verb
locvace	loquaz \ eloqüente
locțiitor	substituto
lodi	lodi
loess	loess \ loess
loffenau	loffenau
lofsöngur	hino nacional da islândia
log off	fazer logoff \ terminar sessão
log on	fazer logon
log on anonim	início de sessão anónimo \ logon anônimo
log on interactiv	início de sessão interativo \ logon interativo
logan	logan
logaritm	logaritmo \ logaritmo
logaritm binar	logaritmo binário
logaritm complex	logaritmo complexo
logaritm discret	logaritmo discreto
logaritm natural	logaritmo natural \ logaritmo natural
logaritm zecimal	logaritmo comum
logaritmi	logaritmo
logaritmi naturali	logaritmo natural
logic	lógico
logica aplicaţiei	lógica aplicacional \ lógica de aplicativo
logica tradițională	lógica aristotélica
logice	lógico
logici	lógico
logică	lógica \ lógico
logică binară	princípio da bivalência
logică cuantică	lógica quântica
logică de ordinul al doilea	lógica de segunda ordem
logică de ordinul întâi	lógica de primeira ordem
logică fuzzy	lógica difusa \ lógica difusa
logică intuiționistă	lógica intuicionista
logică matematică	lógica matemática
logistic	logístico
logistica	logística
logistică	gestão do material \ logística
logo	logotipo \ logotipo
logodi	prometer
logodire	noivado
logodnic	noivo \ prometido \ nubente
logodnică	noiva
logodnă	noivado \ esponsais \ noivado
logofăt	logóteta \ logóteta
logogrif	logogrifo
logon	logon \ início de sessão
logon automat	início de sessão automático \ logon automático
logopedie	fonoaudiologia
logos	logos
logoterapie	logoterapia
loial	verdadeiro
loialitate	lealdade \ lealdade
loiching	loiching
loja	loja
lojă	caixa \ camarote \ loja
lojă masonică	loja maçônica
lokeren	lokeren
loki	loki
lol	rs
lola	lola
lolita	lolita
lombardia	lombardia
lombardă	lombardo
lombarzi	lombardo \ lombardos
lommel	lommel
lomé	lomé
london stock exchange	bolsa de valores de londres
londonez	londrino
londra	londres \ londres
londra mare	grande londres
longitudine	longitude \ linha \ longitude
longitudinea nodului ascendent	longitude do nó ascendente
longobarzi	lombardo
longyearbyen	longyearbyen
lonnerstadt	lonnerstadt
lons-le-saunier	lons-le-saunier
loose	loose
lopata	pá
lopată	pá \ remo \ cavadeira \ pá
lope de vega	félix lope de vega
loppa	loppa
lopătar	colhereiro \ colhereiro
lor	delas \ deles \ seu \ seus
lora de estepa	lora de estepa
lorch	lorch
lord farquaad	lorde farquaad
lordi	lordi
lordoza	lordose
loreena mckennitt	loreena mckennitt
lorem ipsum	lorem ipsum
lorena	lorena \ lorena
lorenzo bandini	lorenzo bandini
lorenzo da ponte	lorenzo da ponte
lorient	lorient
loris	lorinae
loris kessel	loris kessel
lormont	lormont
lorne greene	lorne greene
lornoxicam	lornoxicam
los angeles	los angeles \ los angeles
los cerralbos	los cerralbos
los corrales	los corrales
los molares	los molares
los navalmorales	los navalmorales
los yébenes	los yébenes
lost	lost
lost experience	hanso foundation
lostriță	salmão \ salmão
lot	lot \ ló \ ló \ lot
lot-et-garonne	lot e garona
loterie	loteria \ lotaria \ tômbola \ loteria
lothar i	lotário i
lotta engberg	lotta engberg
lottstetten	lottstetten
lotus	lótus \ flor de lótus \ lotus cars \ team lotus
lourdes	lourdes
loures	loures
louvain	lovaina
louveira	louveira
lovi	bater \ golpear \ acertar
lovire	percussão
lovitură	golpe \ batida
lozie	vimeiro
loßburg	loßburg
loțiune	loção
ls	ls
lu xun	lu xun
lua	tomar \ pegar \ levar
lua micul dejun	desjejuar
lua în considerație	considerar
luanda	luanda \ luanda
luarea deciziilor	tomada de decisão
luau	luau
lubeniță	melancia \ melancieira
lublin	lublin
lubny	lubni
lubrifia	lubrificar \ lubricar
lubrifiant	lubrificante
lubrifianți	lubrificante
lubumbashi	lubumbashi
luca	lucas
luca badoer	luca badoer
luca evanghelistul	são lucas
luca toni	luca toni
lucarnă	claraboia \ trapeira \ lucarna
lucas cranach cel bătrân	lucas cranach o velho
lucas do rio verde	lucas do rio verde
lucca	lucca
luceafăr	lúcifer \ estrela d'alva \ estrela d'alva
luceafărul de dimineață	estrela d'alva
lucerna	lucerna \ lucerna
lucernă	alfafa \ luzerna
luci	brilhar \ luzir \ resplandecer
lucian	luciano
lucian freud	lucian freud
luciana	luciana
luciano 	luciano 
luciditate	lucidez
lucien febvre	lucien febvre
lucifer	lúcifer
lucillos	lucillos
lucios	brilhoso
lucitor	brilhoso \ brilhante \ resplandecente
luciu	brilho \ iridescência
lucius	lúcio
lucius tarquinius superbus	tarquínio
lucius verus	lúcio vero
lucka	lucka
lucra	trabalhar \ lucrar \ funcionar
lucrare	trabalho \ obra \ livro
lucrare de artă	obra de arte
lucrare de referință	obra de referência
lucrare de scanare	trabalho de digitalização
lucrativ	lucrativo
lucru	coisa \ objeto \ trabalho
lucru manual	artesanato
lucru mecanic	trabalho \ trabalho
lucru nevaloros	lixo
lucru în reţea pe linie comutată	acesso telefónico à rede \ sistema de rede de conexão discada
lucruri de spălat	roupa suja
lucrări ale conferințelor	acta de reunião
lucrări hidraulice	ordenamento hídrico
lucrări publice	obras públicas
lucrătoare	trabalhador
lucrător	trabalhador \ assalariado \ empregado \ operário
lucrător manual	trabalhador manual
lucrător specializat	operário especializado
lucrător vamal	profissão aduaneira
lucrători	mão-de-obra
lucélia	lucélia
lucși	lux
luena	lwena
lufar	anchova \ enchova \ pomatomidae \ pomatomidae
lufthansa	lufthansa \ lufthansa
luftwaffe	luftwaffe
lufă	bucha
lug	lugos \ lugos
lugano	lugano
lugoj	lugoj
lugubru	lúgubre \ lôbrego
luhe-wildenau	luhe-wildenau
lui	seu
lulu	lulu
lume	mundo \ gente \ pessoas \ mundo
lume anglofonă	anglosfera
lumea arabă	mundo árabe
lumea occidentală	mundo ocidental
lumea veche	velho mundo
lumen	lúmen
lumina	iluminar \ luz \ brilhar
lumina alba	luz branca
lumina lunii	luz da lua
lumina soarelui	luz do sol \ luz solar
luminescență	luminescência \ luminescência
luminiscență	luminescência
luminol	luminol
luminos	luminoso \ brilhante \ claro \ radiante
luminozitate	luminosidade \ luminância \ brilho
luminozitate adaptivă	brilho adaptável
luminárias	luminárias
lumină	luz \ visão \ luz
lumină colimată	colimação
lumină de lună	luar
lumiracoxib	lumiracoxib
lumpzig	lumpzig
lumânare	vela \ círio \ vela
lumânărică	verbasco \ barbasco \ pavio \ verbascum densiflorum
lumînare	vela
luna	mês \ lua
luna de miere	lua-de-mel
lunar	mensalmente \ lunar \ mensal
lunară	lunar
luncă inundabilă	planície de inundação
lund	lund
lunda	lunda
lunea	segunda \ segunda-feira
lunetist	atirador especial
lunetă	telescópio
lunetă astronomică	telescópio refractor
lung	longo \ comprido
lungern	lungern
lungi	prolongar \ alongar \ acompridar \ encompridar
lungime	comprimento \ extensão \ longitude \ duração
lungime de undă	comprimento de onda \ comprimento onda \ comprimento de onda
lungă	comprido \ longo
luni	segunda-feira \ segunda \ segunda-feira \ segunda-feira \ segunda-feira
luntre	barco \ bote \ navio
lunzig	lunzig
lună	mês \ lua \ satélite \ lua \ lua \ satélite \ mês
lună de miere	lua-de-mel
lună nouă	lua nova \ lua nova
lună plină	lua cheia \ plenilúnio \ lua cheia
luo	luo
lup	lobo \ loba
lup arctic	lobo árctico
lup cenuşiu	lobo
lup de mare	mandrião \ moleiro-pomarino
lup de mare atlantic	moleiro-grande
lup de mare codat	moleiro-de-cauda-comprida
lup de pământ	lobo-da-terra
lup marsupial	tilacino
lupan	filhote \ lobacho \ lobato \ lobinho
lupanar	bordel \ lupanar \ prostíbulo \ putaria
lupang hinirang	hino nacional das filipinas
lupin	tremoço \ tremoceiro
lupoaică	loba \ lobo \ cachorra \ cadela
lupoaie	loba
lupta	lutar \ brigar \ batalhar
lupta cu odgonul	cabo de guerra
lupta împotriva criminalității	combate ao crime
lupta împotriva insectelor	luta contra os insectos
lupta împotriva risipirii resurselor	luta contra o desperdício
lupta împotriva șomajului	combate ao desemprego
lupte	luta
luptă	luta \ batalha \ combate
luptă de clasă	luta de classes
luptă împotriva minelor	acção antiminas
luptătoare	lutador \ lutadora
luptător	lutador \ lutadora \ combatente
lupul	lupus \ lobo \ lupus
lupul de pământ	lobo-da-terra \ protelo
lupus	lúpus \ lúpus eritematoso sistêmico \ lúpus eritematoso sistêmico
lupércio	lupércio
lupă	lupa \ lente \ lupa \ lupa
luque	luque
lusaka	lusaka \ lusaca
lusitania	lusitânia
lusitano	puro sangue lusitano
lustru	brilho \ lustre \ lustro
lustrui	polir \ lustrar
lustră	lustre
lut	argila \ barro \ greda
luteranism	luteranismo \ luteranismo
luteţiu	lutécio
lutherstadt wittenberg	wittenberg
lutier	luthier
luton	luton \ luton
lutră	lontra
lutter	lutter
lutzenberg	lutzenberg
lutécia	lutécia
luvit	luvit
lux	luxo \ lux
luxa	luxar
luxație	luxação
luxemburg	luxemburgo \ luxemburgo
luxemburghez	luxemburguês
luxemburgheză	luxemburguês \ luxemburguesa
luxemburgic	luxemburguês
luxos	rico
luxuriant	viçoso
luxurios	luxuoso
luxură	luxúria \ cobice
luz	luz
luzația	lusácia
luziânia	luziânia
lvs	lvs
lxcfs	lxcfs
lximage-qt	lximage-qt
lxqt-about	lxqt-about
lxqt-admin	lxqt-admin
lxqt-common	lxqt-common
lxqt-config	lxqt-config
lxqt-globalkeys	lxqt-globalkeys
lxqt-notificationd	lxqt-notificationd
lxqt-openssh-askpass	lxqt-openssh-askpass
lxqt-panel	lxqt-panel
lxqt-policykit	lxqt-policykit
lxqt-powermanagement	lxqt-powermanagement
lxqt-qtplugin	lxqt-qtplugin
lxqt-runner	lxqt-runner
lxqt-session	lxqt-session
lxqt-sudo	lxqt-sudo
lycksele	lycksele
lycosidae	aranha-lobo
lyndon b. johnson	lyndon b. johnson
lyndon b. johnson space center	lyndon b. johnson space center
lynx	lynx
lyon	lyon \ lyon
lys assia	lys assia
lysekil	lysekil
lysimachus	lisímaco
lábrea	lábrea
lászló sepsi	lászló sepsi
lászló sólyom	lászló sólyom
lâna de aur	velo de ouro \ velo de ouro
lânced	fraco \ débil \ frouxo
lânga	perto
lângă	perto \ próximo \ próximo &amp \ ao lado de
lânos	lanoso
lânã	lã
lână	lã \ tosão \ lã
län	subdivisões da suécia
léon brillouin	léon brillouin
léon gambetta	léon gambetta
léon walras	léon walras
léopold sédar senghor	léopold sédar senghor
lîngă	a \ em \ com
lînă	lã
löbau-zittau	löbau-zittau
löbichau	löbichau
löchgau	löchgau
lödla	lödla
löffingen	löffingen
løkken	løkken-vrå
lørenskog	lørenskog
lüchow-dannenberg	lüchow-dannenberg
lügde	lügde
lüneburg	lüneburg
lünen	lünen
lăcaș de cult	lugar de prática religiosa
lăcomie	ganância \ gula \ cobiça
lăcrima	chorar \ lacrimejar
lăcrimioară	lírio do vale \ lírio-do-vale
lăcrimos	lacrimoso
lăcrămioară	lírio-do-vale
lăcui	envernizar \ laquear
lăcustă	gafanhoto \ locustídeo
lăcătuş	serralheiro \ ajustador
lămpi	candeia
lămuri	resolver \ esclarecer \ iluminar
lămâi	limoeiro \ limão
lămâie	limão \ limoeiro
lămâie verde	lima \ lima
lămâioară	tomilho
lămâiță	limonete \ lúcia-lima \ bela-luísa
lămîie	limão
lăncier	lanceiro \ lanceiro
lăptar	leiteiro
lăptos	leitoso
lăptucă	alface
lărgi	alargar
lărgime	largura
lăsa	deixar \ permitir \ largar
lăsnicior	doce-amarga \ dolce-amarga
lăstun	andorinha \ andorinha-das-barreiras \ andorinha-das-chaminés
lăstun de casă	andorinha-dos-beirais
lătra	latir \ ladrar
lătrat	latido
lăuda	louvar
lăudăroșenie	bravata
lăută	alaúde \ alaúde
lățime	largura
lățime de bandă	largura de banda
m	m
ma	ter
mac	papoula \ papoila \ dormideira \ quac
mac de câmp	papoila
mac de grădină	papoila-dormideira
mac mac	qua qua
mac os	mac os
mac os x	mac os x
mac-mac	quac
macabi haifa	maccabi haifa
macabru	macabro
macac	macaco \ macaca
macac crabivor	macaca fascicularis
macac cu coadă de leu	macaca silenus
macadam	macadame
macambira	macambira
macao	macau
macapá	macapá
macara	guindaste \ grua \ guincho \ guindaste
macaroane	talharim
macaron	macaron
macatuba	macatuba
macaubal	macaubal
macaé	macaé
macbeth	macbeth
macedo de cavaleiros	macedo de cavaleiros
macedonean	macedónio \ macedónico \ macedônico \ macedônio
macedoneana antică	macedónio \ macedônio
macedoneancă	macedônico \ macedónico \ macedónio \ macedônio
macedoneană	macedônio \ macedônio \ macedónio \ macedônio
macedonia	macedónia \ macedônia \ macedónia \ macedônia
macedonia antică	macedónia
macedonia centrală	macedônia central \ macedónia central
macedonia de vest	macedônia ocidental
macedonia occidentală	macedónia ocidental
macedonia orientală și tracia	macedónia oriental e trácia
maceió	maceió
macerata	macerata
macetă	catana \ machete
machala	machala
machetă	modelo
machiaj	maquiagem
machiavelic	maquiavélico
machiavelice	maquiavélico
machiavelici	maquiavélico
machiavelism	maquiavelismo
machico	machico
machina photographica	câmera \ câmara fotográfica \ câmera fotográfica \ máquina fotográfica
machior	maquiador
machioră	maquiador
macon	macon
macrinus	macrino
macris	agrião
macrocomandă	macro
macrocomandă pentru bara de meniuri	macro de barra de menus
macrocomenzi de date	macros de dados
macrocosm	macrocosmo
macrocosmos	macrocosmo
macroeconomie	macroeconomia \ macroeconomia
macrofag	macrófago
macromedia	macromedia
macromoleculă	macromolécula \ macromolécula
macroscopic	macroscópico
macrosubstituție	macro \ macro
macrotis lagotis	macrotis lagotis
macrou	cavala
madagascar	madagáscar \ madagáscar \ madagascar \ república de madagáscar
madame butterfly	madama butterfly
madame de pompadour	madame de pompadour
madame de staël	anne louise germaine de staël
madame tussaud’s	madame tussauds
madeira	região autónoma da madeira \ madeira \ região autónoma da madeira
madera	madeira
madhya pradesh	madhya pradesh
madinat hamad	madinat hamad
madingo-kayes	madingo-kayes
madingou	madingou
madison	madison
madona	madonna
madonna	madonna \ madonna
madre de deus de minas	madre de deus de minas
madrid	madrid \ madrid \ madri \ comunidade autónoma de madrid \ madride
madridejos	madridejos
madrigal	madrigal \ madrigal
madrigueras	madrigueras
madurai	madurai \ madurai
maestru	senhor \ amo
maestru cofetar	mestre-cuca \ pasteleiro chefe
maestru de ceremonii	mc
mafia	máfia \ máfia
mafic	máfico
mafie	máfia
mag	feiticeiro \ bruxo \ gravador \ mago
magadan	magadan
magazie	armazém \ depósito
magazin	loja \ venda \ armazém
magazin cu autoservire	self-service
magazin cu mărfuri la preț redus	armazém de revenda
magazin de băuturi	botillería
magazin universal	supermercado \ loja de departamento \ magazine
magazin virtual	compra on-line
magazioner	fiel de armazém
magda	magda
magdeburg	magdeburgo
magellan	magalhães
magenta	magenta \ magenta
maggie wheeler	maggie wheeler
maghiar	húngaro \ húngara \ húngaras
maghiare	húngaro \ húngara \ húngaras \ húngaros
maghiari	húngaro \ húngara \ húngaras \ húngaros
maghiară	húngaro \ húngara \ húngaras \ húngaros
maghiran	manjerona \ manjerona
maghreb	magrebe \ magreb
magic	mágico
magica	magica
magician	bruxo \ mágico \ mago \ feiticeiro
magie	mágica \ magia \ mágico
magister militum	magister militum
magistrală	barramento
magistrat	magistrado
maglev	maglev
maglia rossa	maglia rossa
magmă	magma \ magma
magna charta libertatum	magna carta
magna graecia	magna grécia
magnat	magnata
magnet	ímã \ íman \ imã \ íman
magnet neodymium	ímã de neodímio
magnetar	magnetar
magnetic	magnético \ magnética
magnetice	magnética \ magnético
magnetici	magnética \ magnético
magnetism	magnetismo \ magnetismo
magnetismul	magnetismo
magnetit	magnetita \ magnetita
magnetocepție	magnetorecepção
magnetoencefalografie	magnetoencefalografia
magnetoencefalogramă	magnetoencefalograma
magnetofon	gravador \ magnetofone \ gravador
magnetohidrodinamică	magnetoidrodinâmica \ magnetoidrodinâmica
magnetometru	magnetómetro \ magnetómetro
magneton nuclear	magnetão nuclear
magnetosferă	magnetosfera \ magnetosfera
magnetostricțiune	magnetostrição
magnezit	magnesita
magneziu	magnésio
magnific	magnífico \ lindíssimo
magnitudine	grandeza \ magnitude \ magnitude do eclipse
magnitudine absolută	magnitude absoluta
magnitudine aparentă	magnitude aparente
magnitudine fotografică	magnitude fotográfica
magnolia	magnólia \ magnólia
magnoliaceae	magnoliaceae
magnoliacee	magnoliaceae
magnoliales	magnoliales
magnolie	magnólia
magnoliidae	magnoliidae \ magnoliídeas
magnoliophyta	angiosperma
magnoliopsida	dicotiledónea
magnum opus	magnum opus
magot	macaco-de-gibraltar
magstadt	magstadt
magán	magán
magé	magé
mahacikala	makhachkala
mahala	favela \ mahalla \ bairro de lata
mahalia jackson	mahalia jackson
maharashtra	maharashtra
mahatma gandhi	mahatma gandhi
mahayana	mahayana
mahdi	mahdi
mahjong titans	mahjong titans
mahlberg	mahlberg
mahlstetten	mahlstetten
mahmoud abbas	mahmoud abbas
mahmureala	ressaca
mahmureală	ressaca
mahomed	maomé \ maomé
mahomedan	muçulmano
mahon	mogno \ acaju \ mógano
mahonă	barcaça
mahora	mahora
mai	maio \ mais \ fígado \ maio
mai ales	especialmente \ normalmente \ principalmente \ sobretudo
mai bine	melhor
mai bine nu se poate	as good as it gets
mai bun	melhor \ superior
mai bun ca niciodată	melhor que alguma vez antes \ melhor que nunca
mai cu seamă	especialmente \ normalmente \ principalmente \ sobretudo
mai departe	mais \ mais de longe \ mais distantemente
mai devreme	em antemão
mai mare	grande
mai mare decât	maior que
mai mic	pequeno
mai mic decât	menor que
mai mult	mais
mai mult ca perfect	mais-que-perfeito \ pretérito mais-que-perfeito
mai mult ca perfectul	mais-que-perfeito
mai multe	mais
mai nou	ultimamente
mai puţin	menos
mai rau	pior
mai sus	superior
mai târziu	depois \ mais tarde
maia	maia
maica tereza	madre teresa de calcutá
maică	mãe \ freira
maidanez	assilvestrado \ cão de rua
maiden japan	maiden japan
maiduguri	maiduguri
maiestate	majestade
mail	mail
mailbox	caixa de correio
mailto	mailto
maimana	meymaneh
maimută	macaco
maimuţica	mojibake
maimuţă	macaco \ primatas
maimuță	macaco \ macaco \ símio \ mono
main	rio meno \ rio meno
main-kinzig	main-kinzig
main-spessart	main-spessart
main-tauber	main-tauber-kreis
main-taunus	main-taunus
maine	amanhã \ maine \ maine
maine coon	maine coon
maine-et-loire	maine-et-loire
mainframe	mainframe \ mainframe
mainhardt	mainhardt
mainleus	mainleus
mainz	mainz \ mainz
mainz-bingen	mainz-bingen
maioneză	maionese \ maionese
maior	major \ major
maiori	major
maiou	regata
mairead corrigan	mairead corrigan
mairiporã	mairiporã
mairipotaba	mairipotaba
maisach	maisach
maisons-alfort	maisons-alfort
maite perroni	maite perroni
maitenbeth	maitenbeth
majestatea sa	sua majestade
majestatea sa imperială	sua majestade imperial
majestatea voastră	sua majestade
major	adulto \ maior de idade
major isidoro	major isidoro
majorat	maioridade
majoreta	cheerleader \ líder de torcida
majoritate	maioria
majoritate absolută	maioria absoluta
majoritate calificată	maioria qualificada
majoritate civilă	maioridade
majoritate politică	maioria política
majoritate simplă	maioria relativa
majoritate tăcută	maioria silenciosa
majulah singapura	hino nacional de singapura
majuro	majuro
majuscule	em maiúscula(s) \ maiúsculas
majusculă	maiúscula \ maiúsculo \ letra maiúscula \ caixa alta
makalu	makalu
makassar	macassar
make	make
makoua	makoua
makurdi	makurdi
mal	costa \ praia \ margem
mala	desempenadeira
malacca	malaca
malachia	malaquias
malachit	malaquite \ malaquita \ malaquita
malacky	malacky
malacologie	malacologia \ malacologia
malad	doente
maladie	doença
maladie congenitală	doença congénita
malaezia	malásia \ malásia
malaeziană	malaio \ malaio \ malásio
malaeză	malaio \ malaio \ malaio
malagón	malagón
malahian	masturbador
malahist	masturbador
malahit	malaquita
malaiez	malaio
malaiezia	malásia
malaieză	malaio
malamut de alaska	malamute do alasca
malang	malang
malarie	malária \ paludismo \ malária
malawi	malawi \ malawi \ malavi \ malávi
malaxa	amassar
malaxor	liquidificador
malaysia	malásia
malbork	malbork
maldet	maldet
maldive	maldivas \ maldivas \ república das maldivas
maldivian	maldivo
maldiviană	maldivo
maldà	maldà
maldăr	pilha \ monte
maleabil	maleável \ cooperante
maledicție	maldição
malevolent creation	malevolent creation
malformație cerebrală	malformações cefálicas congênitas
malgașă	malgaxe
malgrat de mar	malgrat de mar
malhador	malhador
mali	mali \ mali \ máli
malian	maliano \ maliense
maliană	maliano \ maliense
malibu	malibu
malindi	melinde
malitios	malévolo \ danoso \ rancoroso
maliție	malícia
malițios	malicioso \ maldoso
malițiozitate	malícia
mallorca	maiorca \ mallorca
malmedy	malmedy
malmö	malmö
malmö ff	malmö ff
malnutriție	malnutrição \ desnutrição \ desnutrição
malpica de tajo	malpica de tajo
malpighiales	malpighiales
malpraxis	erro médico
malsburg-marzell	malsburg-marzell
malsch	malsch
malta	malta \ malta \ república de malta
malterdingen	malterdingen
maltez	maltês
maltezi	malteses
malteză	maltês \ maltês
maltoză	maltose
maltrata	maltratar \ provocar
maltratare	maus-tratos
malursus ursinus	urso-beiçudo
malvaceae	malvaceae \ malvaceae
malvacee	malvaceae
malvidină	malvidina
malvérnia	chicualacuala
malév	malév hungarian airlines
malţ	malte
mama	mãe \ mama
mama mare	avó \ vovó \ avô
mama-pădurii	aspérula
mamaie	avó \ vovó \ avô
mamalogie	mastozoologia \ mastozoologia
mamba	mamba
mambaí	mambaí
mamelon	mamilo \ teta \ mama
mameluc	mameluco \ mameluco
mamfe	mamfé
mamifer	mamífero \ mamíferos
mamifer marin	mamífero marinho \ mamífero marinho
mamifer sălbatic	mamífero selvagem
mamifere	mamíferos
mamifere plantigrade	plantígrado
mammendorf	mammendorf
mamming	mamming
mamografie	mamografia
mamut	mamute \ mamute
mamut lânos	mamute-lanoso
mamă	mãe \ mamãe \ mãe
mamă purtătoare	maternidade de substituição \ mãe portadora
mamă vitregă	madrasta
mamă!	mother!
man	página de manual
mana curenta	corrimão
manacapuru	manacapuru
manado	manado \ manado
management	gestão \ administração \ gestão
management de proiect	gerenciamento de projetos \ gerência de projetos
management energetic	gerenciamento de energia \ gestão de energia
management financiar	gestão financeira
management information base	management information base
management strategic	gestão estratégica de empresas
managementul afacerilor	gestão de empresas
managementul apei	gestão das águas
managementul bazelor de date	sistema de gestão de base de dados
managementul ciclului de viață al produsului	product lifecycle management
managementul cunoașterii	gestão do conhecimento
managementul cunostințelor	gestão dos conhecimentos
managementul deșeurilor	gestão de resíduos
managementul documentelor	gestão de documento
managementul electronic al documentelor	gestão electrónica de documentos
managementul lanțului de aprovizionare	gestão da cadeia de suprimentos
managementul mediului înconjurător	gestão do espaço
managementul personalului	administração do pessoal
managementul pescuitului	gestão das pescas
managementul planificării	gestão previsional
managementul produselor	gestão de produto
managementul proiectelor	execução de projecto \ gerência de projetos
managementul resurselor	gestão dos recursos
managementul timpului	gerenciamento de tempo
managementul întreprinderii	direcção de empresa
manager	gerente \ manager \ quadro administrativo
managua	manágua \ manágua
manama	manama \ manama
manaplus	manaplus
manaquiri	manaquiri
manaus	manaus \ manaus
mancala	mancala
manche	mancha
manciukuo	manchukuo
manciuria	manchúria \ manchúria
mandala	mandala
mandarin	mandarim \ mexeriqueira \ tangerina
mandarină	tangerina \ mandarina \ bergamota
mandat de arestare european	mandado de captura europeu
mandat electoral	mandato electivo
mandat parlamentar	mandato parlamentar
mandatul palestinei	palestina
mandibula	mandíbula
mandibule	mandíbula
mandibulă	mandíbula
mandolină	bandolim \ bandolim
mandolă	mandola
mandragoră	mandrágora \ mandragora
mandril	mandril
mandriva linux	mandriva linux
manduri	manduri
manechin	modelo \ manequim
manetho	maneton
manevra	manobrar
manevre militare	manobras militares
manevră	manobra
manfred eigen	manfred eigen
manga	mangá \ manga \ mangá \ mangá
mangaka	mangaká
mangal	carvão de madeira \ carvão vegetal \ carvão vegetal
mangalagiri	mangalagiri
mangalia	mangalia
mangalore	mangalore \ mangalore
mangan	manganês \ manganésio \ manganés
mangaratiba	mangaratiba
mango	manga \ manga (fruta)
mangold	acelga \ acelga
mangrove	mangue \ manguezal \ manguezal
mangualde	mangualde
mangustan	mangostão
mangustă	mangusto \ fuinha
manhattan	manhattan \ manhattan
manhuaçu	manhuaçu
